State,Year,Quater,metric_amount,metric_count,metric_type
manipur,2021,4,131651667.09783676,39891,chandel district
manipur,2021,4,369885898.8351996,113386,bishnupur district
manipur,2021,4,119108747.24317983,33983,senapati district
manipur,2021,4,4851553.5065681385,2553,pherzawl district
manipur,2021,4,446895232.6851511,121140,churachandpur district
manipur,2021,4,154956864.23616886,40383,tengnoupal district
manipur,2021,4,9254105829.377777,3649688,imphal west district
manipur,2021,1,205050443.8236801,63234,kangpokpi district
manipur,2021,1,47249169.68840321,12635,noney district
manipur,2021,1,530028907.0928848,161841,imphal east district
manipur,2021,1,240713473.6681419,72593,thoubal district
manipur,2021,1,92307870.36114596,29803,kakching district
manipur,2021,1,58448279.737162024,16697,jiribam district
manipur,2021,1,68745913.46443734,22415,ukhrul district
manipur,2021,1,72960342.05136192,20962,tamenglong district
manipur,2021,1,24926447.76105148,6312,kamjong district
manipur,2021,1,80445733.20656839,23884,chandel district
manipur,2021,1,255486792.7272072,73777,bishnupur district
manipur,2021,1,73777202.5143657,22025,senapati district
manipur,2021,1,4788028.467703758,1714,pherzawl district
manipur,2021,1,250250943.40948159,62755,churachandpur district
manipur,2021,1,102554591.19717449,19430,tengnoupal district
manipur,2021,1,4962553375.308464,1693458,imphal west district
manipur,2018,2,20315625.91653779,6741,kangpokpi district
manipur,2018,2,2486030.8565162863,1051,noney district
manipur,2018,2,54561898.7454827,42065,imphal east district
manipur,2018,2,17968719.216563758,20689,thoubal district
manipur,2018,2,6411513.656549769,3879,kakching district
manipur,2018,2,6467614.407545684,2710,jiribam district
manipur,2018,2,6394470.819340965,2800,ukhrul district
manipur,2018,2,4747280.086110413,1714,tamenglong district
manipur,2018,2,446574.11265748634,340,kamjong district
manipur,2018,2,3525831.9511511945,1619,chandel district
manipur,2018,2,19352100.53894212,11338,bishnupur district
manipur,2018,2,2034357.3575923673,970,senapati district
manipur,2018,2,1036.3525697348664,11,pherzawl district
manipur,2018,2,18055703.27078783,7110,churachandpur district
manipur,2018,2,6077962.2428630125,2080,tengnoupal district
manipur,2018,2,84363001.78828333,46604,imphal west district
manipur,2018,3,27937402.09243063,9151,kangpokpi district
manipur,2018,3,3959453.6371438224,1636,noney district
manipur,2018,3,89605715.78431109,60511,imphal east district
manipur,2018,3,34092748.23724542,19399,thoubal district
manipur,2018,3,9968419.417644013,4590,kakching district
manipur,2018,3,6601625.253335206,3959,jiribam district
manipur,2018,3,9802720.723219434,3600,ukhrul district
manipur,2018,3,6192820.941522401,2829,tamenglong district
manipur,2018,3,673262.7657017015,349,kamjong district
manipur,2018,3,5588239.711362864,2591,chandel district
manipur,2018,3,24368236.711014666,13649,bishnupur district
manipur,2018,3,2555370.7700600782,1416,senapati district
manipur,2018,3,97583.08278583639,48,pherzawl district
manipur,2018,3,27468832.413289707,8671,churachandpur district
manipur,2018,3,13385091.180977922,3282,tengnoupal district
manipur,2018,3,121033722.07207742,53577,imphal west district
manipur,2018,4,42081524.606101125,13325,kangpokpi district
manipur,2018,4,7315230.191123211,2598,noney district
manipur,2018,4,129176222.41262636,54610,imphal east district
manipur,2018,4,52899731.29086943,24817,thoubal district
manipur,2018,4,13429124.004544508,6508,kakching district
manipur,2018,4,13414981.155959103,5444,jiribam district
manipur,2018,4,15201316.568829268,4538,ukhrul district
manipur,2018,4,13057576.00717781,4866,tamenglong district
manipur,2018,4,2822478.1128238714,845,kamjong district
manipur,2018,4,13092276.488481913,4425,chandel district
manipur,2018,4,37263259.12396772,19048,bishnupur district
manipur,2018,4,7569372.186811532,2902,senapati district
manipur,2018,4,103445.61904358957,112,pherzawl district
