State,Year,Quater,Entity_Name,Metric_Amount,Metric_Count
manipur,2018,1,795148,3058970.431631125,2976
manipur,2023,2,795004,619969789.0,224651
manipur,2023,2,795001,258134076.0,108635
manipur,2023,2,795002,226003227.0,93433
manipur,2023,2,795148,177527055.0,68329
manipur,2023,2,795138,169010290.0,60088
manipur,2023,2,795133,178002651.0,59148
manipur,2023,2,795130,149763497.0,56614
manipur,2023,2,795132,131255670.0,46117
manipur,2023,2,795116,127950386.0,44761
manipur,2023,2,795128,139367008.0,43524
manipur,2023,3,795004,617891060.0,148271
manipur,2023,3,795001,265735835.0,67657
manipur,2023,3,795002,186760311.0,48464
manipur,2023,3,795116,139581289.0,39700
manipur,2023,3,795138,147156182.0,35077
manipur,2023,3,795133,134382455.0,29407
manipur,2023,3,795148,107467333.0,25951
manipur,2023,3,795107,120355686.0,25007
manipur,2023,3,795005,81747354.0,24630
manipur,2023,3,795008,85892147.0,23792
manipur,2023,1,795004,1240769088.0,456363
manipur,2023,1,795001,533198852.0,216068
manipur,2023,1,795002,424538778.0,184478
manipur,2023,1,795148,341554432.0,139469
manipur,2023,1,795133,377823851.0,129584
manipur,2023,1,795138,330598046.0,121384
manipur,2023,1,795130,271637070.0,115555
manipur,2023,1,795107,219388903.0,95337
manipur,2023,1,795132,250420218.0,91792
manipur,2023,1,795149,241112692.0,85573
manipur,2022,2,795004,10202669169.894806,4573299
manipur,2022,2,795001,328026661.7391803,103360
manipur,2022,2,795002,250002708.08229852,84068
manipur,2022,2,795148,192486883.54512107,80833
manipur,2022,2,795138,222746775.51901352,73873
manipur,2022,2,795133,249690972.01648757,68627
manipur,2022,2,795107,167710615.43882588,60583
manipur,2022,2,795130,143292534.79744756,56502
manipur,2022,2,795128,193974478.11630017,55970
manipur,2022,2,795149,169332377.91341415,50379
manipur,2022,3,795004,9730640425.077581,4302756
manipur,2022,3,795003,680012369.5505146,300051
manipur,2022,3,795001,418419057.61361146,159116
manipur,2022,3,795128,335796943.4272088,128345
manipur,2022,3,795103,274869023.0314992,115879
manipur,2022,3,795002,263713677.7736685,90949
manipur,2022,3,795148,198139322.31495643,86932
manipur,2022,3,795138,227730675.68179005,80059
manipur,2022,3,795133,234564424.5141055,68707
manipur,2022,3,795130,154921111.1451959,66313
manipur,2022,4,795004,9947583589.937637,4334975
manipur,2022,4,795103,479899121.40219855,206973
manipur,2022,4,795001,395569197.44332534,151452
manipur,2022,4,795138,339597446.4884654,127631
manipur,2022,4,795003,289439627.9608227,117634
manipur,2022,4,795002,276026598.93112993,106022
manipur,2022,4,795148,222872265.42437696,90628
manipur,2022,4,795129,205922863.0067138,77019
manipur,2022,4,795133,243754919.0076188,75053
manipur,2022,4,795130,165211575.11124176,68326
manipur,2022,1,795004,9537639096.801764,3869356
manipur,2022,1,795001,289715782.8274056,87098
manipur,2022,1,795002,219152370.99107608,69943
manipur,2022,1,795138,217457160.92532128,69278
manipur,2022,1,795148,179456880.50273237,67820
manipur,2022,1,795133,222493009.00146547,64420
manipur,2022,1,795128,213716654.99928838,58936
manipur,2022,1,795107,164219914.71451503,56033
manipur,2022,1,795149,172077929.79922795,50677
manipur,2022,1,795130,138828052.68058753,47315
manipur,2019,2,795004,120781209.48124579,36187
manipur,2019,2,795001,77389134.5047512,28023
manipur,2019,2,795002,30009542.78850165,10533
manipur,2019,2,795138,27248718.95561669,9739
manipur,2019,2,795133,21011673.359420665,8834
manipur,2019,2,795148,18484663.43130917,8578
manipur,2019,2,795107,25768354.482557006,8437
manipur,2019,2,795149,20388901.095304318,7257
manipur,2019,2,795128,23400317.826739278,7150
manipur,2019,2,795132,16466061.165612688,6820
manipur,2019,3,795004,143342579.45317823,49341
manipur,2019,3,795001,100742930.73130392,34428
manipur,2019,3,795002,38435546.5771031,16183
manipur,2019,3,795107,31413050.58819677,12606
manipur,2019,3,795138,31596560.483539104,12455
manipur,2019,3,795133,21911206.158574402,11331
manipur,2019,3,795148,20197259.281416446,10206
manipur,2019,3,795103,21276889.316738486,10097
manipur,2019,3,795128,31349106.362106614,9626
manipur,2019,3,795149,25778922.851421803,9541
manipur,2019,4,795004,284142574.36576116,85163
manipur,2019,4,795001,123799617.86394042,41607
manipur,2019,4,795002,43657709.80721581,19150
manipur,2019,4,795133,32936174.803068608,16045
manipur,2019,4,795138,36046485.762527086,14997
manipur,2019,4,795107,38601354.81514808,14246
manipur,2019,4,795148,28618093.637119994,13841
manipur,2019,4,795149,32634117.40836089,12308
manipur,2019,4,795103,28917720.973230727,12270
manipur,2019,4,795010,24985787.00335359,10612
manipur,2019,1,795004,109634944.30257642,35245
manipur,2019,1,795001,56727468.16179132,24838
manipur,2019,1,795002,25977979.478554804,12432
manipur,2019,1,795138,22901903.302165523,11157
manipur,2019,1,795133,21402954.883938394,9791
manipur,2019,1,795148,19123565.136399906,9570
manipur,2019,1,795132,18235018.20897458,9340
manipur,2019,1,795107,23565468.844109796,8646
manipur,2019,1,795149,24871786.666982573,8393
manipur,2019,1,795128,27756732.496665865,8185
sikkim,2020,2,737101,241524817.7601629,99514
sikkim,2020,2,737102,110771511.12969662,48169
sikkim,2020,2,737134,79692784.39264867,47609
sikkim,2020,2,737132,77172228.21265629,44831
sikkim,2020,2,737135,78103532.51790954,40423
sikkim,2020,2,737113,62990274.249189,30686
sikkim,2020,2,737126,50056768.69557366,30265
sikkim,2020,2,737120,83171870.67539173,26448
sikkim,2020,2,737121,34021829.586665384,25732
sikkim,2020,2,737136,32007761.345463865,19239
sikkim,2020,3,737101,363123445.92071867,123677
sikkim,2020,3,737102,148498181.61173043,59676
sikkim,2020,3,737134,103125997.98284647,52215
sikkim,2020,3,737132,92166014.71236712,47333
sikkim,2020,3,737135,84621036.76003131,43495
sikkim,2020,3,737113,84066020.05543599,35604
sikkim,2020,3,737126,67249097.61629468,34340
sikkim,2020,3,737120,108277311.85844661,32188
sikkim,2020,3,737121,47548419.72318309,29690
